Year,CPI,Current CPI
1950,24.1,244.076
1951,26.0,244.076
1952,26.5,244.076
1953,26.7,244.076
1954,26.9,244.076
1955,26.8,244.076
1956,27.2,244.076
1957,28.1,244.076
1958,28.9,244.076
1959,29.1,244.076
1960,29.6,244.076
1961,29.9,244.076
1962,30.2,244.076
1963,30.6,244.076
1964,31.0,244.076
1965,31.5,244.076
1966,32.4,244.076
1967,33.4,244.076
1968,34.8,244.076
1969,36.7,244.076
1970,38.8,244.076
1971,40.5,244.076
1972,41.8,244.076
1973,44.4,244.076
1974,49.3,244.076
1975,53.8,244.076
1976,56.9,244.076
1977,60.6,244.076
1978,65.2,244.076
1979,72.6,244.076
1980,82.4,244.076
1981,90.9,244.076
1982,96.5,244.076
1983,99.6,244.076
1984,103.9,244.076
1985,107.6,244.076
1986,109.6,244.076
1987,113.6,244.076
1988,118.3,244.076
1989,124.0,244.076
1990,130.7,244.076
1991,136.2,244.076
1992,140.3,244.076
1993,144.5,244.076
1994,148.2,244.076
1995,152.4,244.076
1996,156.9,244.076
1997,160.5,244.076
1998,163.0,244.076
1999,166.6,244.076
2000,172.2,244.076
2001,177.1,244.076
2002,179.9,244.076
2003,184.0,244.076
2004,188.9,244.076
2005,195.3,244.076
2006,201.6,244.076
2007,207.342,244.076
2008,215.303,244.076
2009,214.537,244.076
2010,218.056,244.076
2011,224.939,244.076
2012,229.594,244.076
2013,232.957,244.076
2014,236.736,244.076
2015,237.017,244.076
2016,240.007,244.076
2017,244.076,244.076
